tipo,autonomia,provincia,matricula,causa,poblacion,fechahora_ini,nivel,carretera,pk_inicial,pk_final,sentido,longitud,latitud, cluster
Obras,Euskadi,ARABA,VI,Obras,Amurrio,2006-10-26 13:27:28,Blanco,AP-68,35,35,ZARAGOZA,-2.877197,42.97503,97
Obras,Euskadi,ARABA,VI,Obras,Zambrana,2006-10-26 09:42:19,Blanco,AP-68,69,69,BILBAO,-2.90099,42.70471,81
Obras,Euskadi,ARABA,VI,Obras,None,2006-10-26 09:36:27,Blanco,AP-68,59,59,ZARAGOZA,-2.90581,42.7806,31
Obras,Euskadi,ARABA,VI,Obras,Armiñón,2006-10-17 09:57:47,Blanco,N-1,323,329,IRÚN,-2.909908,42.70812,69
Obras,Euskadi,ARABA,VI,Obras,Ribera Baja/Erribera Beitia,2006-10-25 09:18:58,Blanco,AP-68,74,74,ZARAGOZA,-2.88982,42.66267,-1
Obras,Euskadi,ARABA,VI,Obras,Ribera Baja/Erribera Beitia,2006-10-24 20:56:18,Blanco,AP-68,58,58,ZARAGOZA,-2.89953,42.78738,-1
Obras,Euskadi,ARABA,VI,Obras,Ribera Baja/Erribera Beitia,2006-10-24 20:56:18,Blanco,AP-68,58,58,ZARAGOZA,-2.89953,42.78738,-1
Obras,Euskadi,ARABA,VI,Obras,Iruña Oka/Iruña de Oca,2006-10-25 17:16:43,Blanco,N-1,342,343,IRÚN,-2.77663,42.82025,33
Obras,Euskadi,ARABA,VI,Obras,Armiñón,2006-10-17 09:57:47,Amarillo,N-1,323,329,IRÚN,-2.909908,42.70812,69
Obras,Euskadi,ARABA,VI,Obras,Ribera Alta,2006-10-25 13:07:00,Blanco,AP-68,35,35,ZARAGOZA,-2.877197,42.97503,97
Obras,Euskadi,ARABA,VI,Obras,Zambrana,2006-10-25 09:21:12,Blanco,AP-68,66,66,BILBAO,-2.92183,42.72518,-1
Obras,Euskadi,ARABA,VI,Obras,Ribera Baja/Erribera Beitia,2006-10-25 09:18:58,Blanco,AP-68,74,74,ZARAGOZA,-2.88982,42.66267,-1
Obras,Euskadi,ARABA,VI,Obras,Ribera Baja/Erribera Beitia,2006-10-24 20:56:18,Blanco,AP-68,58,58,ZARAGOZA,-2.89953,42.78738,-1
Obras,Euskadi,ARABA,VI,Obras,None,2006-10-24 13:04:13,Blanco,AP-68,66,66,BILBAO,-2.92183,42.72518,-1
Obras,Euskadi,ARABA,VI,Obras,Ribera Baja/Erribera Beitia,2006-10-24 20:56:18,Blanco,AP-68,58,58,ZARAGOZA,-2.89953,42.78738,-1
Obras,Euskadi,ARABA,VI,Obras,None,2006-10-24 13:04:13,Blanco,AP-68,66,66,BILBAO,-2.92183,42.72518,-1
Obras,Euskadi,ARABA,VI,Obras,None,2006-10-24 13:04:13,Blanco,AP-68,66,66,BILBAO,-2.92183,42.72518,-1
